Country_code,Country,year,NY.GDP.PCAP.KD.ZG,SH.DYN.MORT,SH.MED.PHYS.ZS,SP.DYN.LE00.IN,SP.POP.TOTL,SP.URB.TOTL.IN.ZS
AFG,Afghanistan,2008,1.6772791560615,96.3,0.183,59.708,26482622.0,21.1241481349633
AFG,Afghanistan,2012,8.27936899310519,81.2,0.246,61.735,30560034.0,23.3434391310979
AFG,Afghanistan,2016,-0.300121027406746,70.0,0.284,62.646,34700612.0,24.6588345720126
AGO,Angola,1984,2.14350685089639,228.0,0.059,42.245,9425917.0,29.5174062708824
AGO,Angola,2004,7.48604694407922,173.8,0.063,51.123,18600423.0,55.0445280863936
ALB,Albania,1984,-3.30749720231947,59.0,1.407,70.984,2904429.0,34.4247705932271
ALB,Albania,1992,-6.62255120696442,37.6,1.604,73.303,3247039.0,36.7184275131439
ALB,Albania,1996,8.00551384353483,32.4,1.318,74.113,3168033.0,38.8996042444751
ALB,Albania,2000,8.14996793452505,27.1,1.366,74.826,3089027.0,41.6135829609314
ALB,Albania,2004,5.70712308403314,21.4,1.194,75.951,3026939.0,44.9784925669394
ALB,Albania,2012,2.5545386692104,11.2,1.27,78.084,2860708.0,53.8637553661449
ALB,Albania,2016,5.52482598081943,9.4,1.212,78.643,2689469.0,55.5738734464276
AND,Andorra,2000,3.56776571144128,7.6,2.557,81.863,65685.0,92.2559356689453
AND,Andorra,2004,1.09540001410325,6.2,3.217,82.815,74325.0,90.5157699584961
AND,Andorra,2012,-3.80075429834201,4.1,3.112,84.334,76834.0,88.6290967082924
AND,Andorra,2016,3.69962046811506,3.4,4.058,84.489,72181.0,88.5027454634853
ARE,United Arab Emirates,1980,11.2287422135124,34.0,1.068,68.157,1015700.0,81.1041461310978
ARE,United Arab Emirates,1984,-1.61328212311676,23.1,0.953,69.802,1305996.0,79.7336810810801
ARE,United Arab Emirates,2000,3.63193280286305,10.7,1.616,76.347,3493575.0,79.287092479995
ARE,United Arab Emirates,2004,3.71551069282259,10.0,1.762,80.272,4428967.0,81.4729199268812
ARE,United Arab Emirates,2008,-7.90935166190489,9.2,1.845,81.591,6302664.0,82.9658963549658
ARE,United Arab Emirates,2012,0.619829719966987,8.4,1.801,81.913,7391448.0,83.7643244751488
ARE,United Arab Emirates,2016,0.574841518832997,7.3,2.458,82.195,8935095.0,84.5093991669984
ARG,Argentina,1984,-0.0338209216825902,32.1,2.683,69.353,29863093.0,84.5580771403692
ARG,Argentina,1988,-2.61112478271322,29.0,3.032,71.097,31780532.0,86.2212114718152
ARG,Argentina,1992,6.45332357113911,27.6,2.636,72.096,33693527.0,87.4815873775619
ARG,Argentina,2004,7.92951713016532,17.3,3.1857,74.871,38815916.0,89.9397208794212
ARG,Argentina,2012,-2.0383253093713,13.3,4.823,75.802,42161721.0,91.2041217246797
ARG,Argentina,2016,-3.02450095578762,11.4,5.024,76.105,43900313.0,91.5856817228217
ARM,Armenia,2000,4.13075887426186,30.8,2.652,72.8804878048781,3221100.0,64.959237917436
ARM,Armenia,2004,11.1144901880771,25.2,2.443,73.0268292682927,3164900.0,64.5972633621116
ARM,Armenia,2008,7.60294775074826,20.6,2.695,73.0731707317073,3087100.0,64.3840928379746
ARM,Armenia,2012,7.33470454115984,17.0,2.859,74.119512195122,3024100.0,64.3268379506998
ARM,Armenia,2016,0.611877151180408,14.0,2.887,74.8682926829268,2992300.0,64.5928753345316
ATG,Antigua and Barbuda,1996,4.42573962263424,15.5,1.141,73.839,69612.0,34.1856194875816
ATG,Antigua and Barbuda,2008,-1.47076894898352,12.4,0.543,76.075,82912.0,27.0585906639822
AUS,Australia,1976,1.56435628568006,16.2,1.5,73.0146341463415,14033000.0,85.9912185628314
AUS,Australia,1984,3.3166427647013,11.6,1.8,75.3878048780488,15579391.0,85.4475664516222
AUS,Australia,1988,4.04503594783567,10.2,2.1,76.4326829268293,16532164.0,85.3697439220883
AUS,Australia,1992,-0.685109221290034,8.2,2.363,77.3780487804878,17478635.0,85.3907597470933
AUS,Australia,1996,2.61251726692284,6.8,2.39,78.0780487804878,18224767.0,85.2405932056372
AUS,Australia,2000,2.73354609011429,6.2,2.476,79.2341463414634,19028802.0,85.1071608578257
AUS,Australia,2004,3.11057041061613,5.8,2.692,80.490243902439,19932722.0,85.518767609412
AUS,Australia,2008,1.56811983624921,5.2,3.0,81.3951219512195,21249199.0,86.0253816967666
AUS,Australia,2012,2.15339832775771,4.3,3.293,82.0463414634146,22733465.0,86.4451259136625
AUS,Australia,2016,1.16312811538609,3.8,3.557,82.4487804878049,24190907.0,87.0166295249235
AUT,Austria,1976,4.76336934989831,21.1,1.5,71.5658536585366,7565525.0,53.198876513723
AUT,Austria,1992,0.976092051303695,8.5,3.213,75.8170731707317,7840709.0,64.9499929346872
AUT,Austria,1996,2.07784870159793,6.4,3.589,76.8707317073171,7959017.0,66.1109299621598
AUT,Austria,2000,2.94168464206538,5.5,3.876,78.1268292682927,8011566.0,66.7690238969566
AUT,Austria,2004,1.93089688878541,5.1,4.232,79.1804878048781,8171966.0,66.9558612872944
AUT,Austria,2008,1.13621131218787,4.5,4.627,80.4317073170732,8321496.0,67.0435560819078
AUT,Austria,2012,0.170488694211613,4.0,4.927,80.9365853658537,8429991.0,67.2085909812279
AUT,Austria,2016,1.01887723192984,3.6,5.129,81.6414634146342,8736668.0,67.7218061923556
AZE,Azerbaijan,1992,-23.7612021557258,95.2,3.805,60.773,7382050.0,52.9185485839844
AZE,Azerbaijan,1996,0.280213889570334,91.0,3.729,62.66,7763000.0,52.1216049194336
AZE,Azerbaijan,2000,10.1910292674816,74.0,3.552,65.377,8048600.0,51.1320838928223
AZE,Azerbaijan,2004,8.30153847939059,55.5,3.54,67.488,8306500.0,52.2831993103027
AZE,Azerbaijan,2008,8.29339095519384,42.7,3.635,69.355,8763400.0,53.063304901123
AZE,Azerbaijan,2012,0.85388594737168,33.2,3.449,71.08,9295784.0,53.8076442276208
AZE,Azerbaijan,2016,-4.14117487259738,26.3,3.262,72.568,9757812.0,55.7574797205266
BDI,Burundi,1984,-2.24212742745944,183.6,0.047,47.687,4926465.0,5.06744140132635
BDI,Burundi,2000,-2.89542791949714,153.7,0.052,47.617,6470194.0,8.04381449833197
BDI,Burundi,2004,0.997721140754805,131.0,0.027,52.217,7310656.0,8.9185547789176
BDI,Burundi,2012,0.762376963720541,80.2,0.049,58.501,10071028.0,12.2244596804615
BEL,Belgium,1976,5.46414014877136,17.6,1.9,72.119756097561,9818227.0,73.1119397796152
BEL,Belgium,1980,4.32900829107655,14.5,2.3,73.2070731707317,9859242.0,74.7214236886134
BEL,Belgium,1984,2.46792120866535,12.2,2.7,74.4048780487805,9855372.0,76.2916732112078
BEL,Belgium,1988,4.39079485847489,10.7,3.1,75.5658536585366,9901664.0,77.8144345775361
BEL,Belgium,1992,1.11956566849732,9.2,3.391,76.3512195121951,10045158.0,79.2814540177363
BEL,Belgium,1996,1.12365026891848,7.2,3.608,77.1873170731707,10156637.0,80.6844777619461
BEL,Belgium,2000,3.46547823151502,5.9,2.829,77.7219512195122,10251250.0,82.0152520403035
BEL,Belgium,2004,3.1239312841995,5.2,2.868,78.8780487804878,10421137.0,83.2655230829461
BEL,Belgium,2008,-0.343476136908251,4.7,2.921,79.6804878048781,10709973.0,84.427037120012
BEL,Belgium,2012,-0.403775116080638,4.3,2.933,80.3853658536585,11106932.0,85.4915403816388
BEL,Belgium,2016,0.682454832714654,4.1,3.28,81.4390243902439,11331422.0,86.4507790979645
BEN,Benin,1980,3.87849215726132,211.7,0.059,47.747,3925251.0,27.3020371175737
BEN,Benin,1992,-0.174577693605642,163.9,0.055,54.137,5617844.0,35.7897618395069
BEN,Benin,2004,1.28077994352564,123.5,0.038,57.346,8159094.0,39.8525699078742
BEN,Benin,2008,1.77647069609412,113.0,0.059,58.099,9228466.0,41.8029662723105
BEN,Benin,2016,0.361166139903119,95.0,0.045,59.283,11697842.0,46.6094559006664
BFA,Burkina Faso,1980,-1.87246341521055,239.1,0.018,46.465,6947900.0,8.41701274093687
BFA,Burkina Faso,1996,8.20998110484305,191.8,0.035,49.693,10655942.0,15.3191448028844
BFA,Burkina Faso,2004,1.24360966999572,158.6,0.052,52.6,13500533.0,21.3392180754924
BFA,Burkina Faso,2008,2.73663676272773,132.7,0.031,55.199,15258093.0,23.3633747838557
BFA,Burkina Faso,2012,3.28878346500349,112.6,0.046,57.457,17172287.0,24.8001912059054
BFA,Burkina Faso,2016,2.9035090911533,97.7,0.062,59.173,19334856.0,25.821510372001
BGD,Bangladesh,1980,-1.56496896529997,205.8,0.12,52.278,88016432.0,14.6751064590553
BGD,Bangladesh,2004,3.81635685042457,66.9,0.269,64.912,142902856.0,25.0094809886101
BGD,Bangladesh,2008,4.96057170242533,53.9,0.33,67.047,149474264.0,26.87206041368
BGD,Bangladesh,2012,5.50548020192592,44.7,0.39,68.989,155070101.0,28.4787972894576
BGD,Bangladesh,2016,6.16181560014782,36.9,0.489,71.075,160811932.0,29.8753915517965
BGR,Bulgaria,1984,3.15480736579876,20.7,2.759,71.499756097561,8960679.0,65.6103744506836
BGR,Bulgaria,1992,-6.27126388892331,19.2,3.159,71.4943902439024,8540164.0,67.1506882200337
BGR,Bulgaria,1996,5.74937030570024,19.4,3.569,70.8973170731707,8362826.0,67.6981964111328
BGR,Bulgaria,2000,5.1050556930103,17.5,3.441,71.6634146341463,8170172.0,68.2631454467773
BGR,Bulgaria,2004,7.31740492679138,14.2,3.537,72.5634146341463,7716860.0,69.9193344116211
BGR,Bulgaria,2008,6.87712653095458,11.4,3.643,72.9634146341463,7492561.0,70.902099609375
BGR,Bulgaria,2012,1.33406661288926,9.9,3.868,74.3146341463415,7305888.0,72.7684860229492
BGR,Bulgaria,2016,4.37288163509066,7.7,4.107,74.8121951219512,6894139.0,73.1750030517578
BHR,Bahrain,1980,-1.85494661016521,33.0,1.087,70.684,358978.0,80.4285215148977
BHR,Bahrain,2000,2.55964691370853,12.5,1.013,74.673,637582.0,87.8356209595597
BHR,Bahrain,2004,-0.710582645687865,11.0,0.922,75.787,823741.0,89.8569005979296
BHR,Bahrain,2008,0.0637144631576234,9.4,0.984,77.457,1103496.0,96.3461384245376
BHR,Bahrain,2012,2.60578123430011,8.1,1.023,79.622,1208964.0,100.0
BHR,Bahrain,2016,-0.0791098754103388,7.6,0.83,80.407,1423726.0,100.0
BHS,"Bahamas, The",1980,4.52774396336473,29.5,0.938,69.091,232526.0,73.1083775505396
BHS,"Bahamas, The",1984,12.2603670641799,28.1,0.943,70.192,248863.0,76.7379968138464
BHS,"Bahamas, The",1996,2.5876999442699,17.6,1.518,71.464,306268.0,80.7886692099075
BHS,"Bahamas, The",2008,-3.62901783567871,16.2,2.645,73.445,358120.0,82.3197128080855
BIH,Bosnia and Herzegovina,2000,4.66760700032494,9.5,1.312,75.292,4159771.0,42.5539898606589
BIH,Bosnia and Herzegovina,2004,7.28905393914994,7.6,1.372,76.489,4140987.0,43.8380473519042
BIH,Bosnia and Herzegovina,2008,7.20155128475226,7.0,1.59,76.3,3947544.0,45.1090576163352
BIH,Bosnia and Herzegovina,2012,1.11532015786369,6.7,1.914,77.037,3670113.0,46.3655655972
BIH,Bosnia and Herzegovina,2016,4.59597025623206,6.8,2.146,77.124,3473003.0,48.0248845752382
BLR,Belarus,1992,-9.79838350074243,15.3,2.9409,70.0219512195122,10216470.0,67.3208541870117
BLR,Belarus,1996,3.14668598096435,15.5,3.084,68.5121951219512,10159569.0,68.2737426757812
BLR,Belarus,2000,6.29963628199231,12.8,3.268,68.9121951219512,9979610.0,69.9172295434732
BLR,Belarus,2004,12.2126184264071,9.4,3.299,68.9560975609756,9730146.0,71.7658538818359
BLR,Belarus,2008,10.581305038428,6.6,3.578,70.4560975609756,9527985.0,73.5531692504883
BLR,Belarus,2012,1.86726973670382,4.9,3.885,71.9658536585366,9446836.0,75.5281066894531
BLR,Belarus,2016,-2.61191381567238,3.9,4.372,73.8268292682927,9469379.0,76.8458709716797
BLZ,Belize,1984,-0.411300256333874,55.2,0.272,67.952,160044.0,49.8073548163703
BLZ,Belize,1988,7.38062987711756,44.4,0.472,69.401,175180.0,47.8697325864159
BLZ,Belize,1996,-1.85800125948006,28.6,0.548,69.363,210310.0,47.5323526855742
BLZ,Belize,2000,8.63286312471467,24.5,1.042,68.911,240799.0,47.6836847507377
BLZ,Belize,2012,1.73206971753382,17.7,1.157,71.134,334414.0,44.6903068035216
BOL,Bolivia,1984,-2.31057153866044,151.0,0.697,53.383,6281868.0,48.7889804252647
BOL,Bolivia,2016,2.7222071569043,30.3,1.569,67.392,11180020.0,68.7446327876947
BRA,Brazil,1984,3.12069396131707,79.8,0.927,63.553,132658864.0,70.8607419854387
BRA,Brazil,1988,-1.9510165069396,68.4,1.185,65.161,143826357.0,73.6138622973844
BRA,Brazil,1992,-2.18850140503228,57.2,1.14,66.539,154275079.0,76.0910875240585
BRA,Brazil,1996,0.672968776246492,44.7,1.259,68.108,164202549.0,78.3021415455398
BRB,Barbados,1984,3.22323163924467,22.6,0.891,73.302,254920.0,63.5240932119026
BRB,Barbados,2000,4.62813476022488,14.4,1.393,74.58,262063.0,62.5379397803044
BRN,Brunei Darussalam,1980,-12.4679873180703,22.8,0.435,69.014,186111.0,59.5396238335958
BRN,Brunei Darussalam,1984,-5.56827268914583,16.7,0.534,70.236,211661.0,60.0533276795725
BRN,Brunei Darussalam,1996,-2.40064278413038,11.9,0.848,73.079,298276.0,69.3322406854373
BRN,Brunei Darussalam,2000,1.2515924816352,10.3,1.029,74.017,326424.0,71.2246805488418
BRN,Brunei Darussalam,2004,-1.67510542923259,9.5,1.312,74.603,352911.0,73.0675067339261
BRN,Brunei Darussalam,2008,-5.66095294794741,9.6,1.493,74.814,377793.0,74.7929411399737
BRN,Brunei Darussalam,2012,-0.62162371685136,9.9,1.469,74.843,405557.0,75.2714233503027
BTN,Bhutan,2004,3.07510668161098,61.2,0.181,65.29,650544.0,30.2914018195132
BTN,Bhutan,2008,3.35523609267926,46.2,0.249,67.733,686351.0,32.76371954591
BTN,Bhutan,2012,4.006257825918,35.6,0.271,69.759,717279.0,35.0188644248365
BTN,Bhutan,2016,7.42464056841786,29.6,0.4,71.119,747866.0,37.2745234641407
BWA,Botswana,1980,7.71723539697769,72.9,0.123,62.527,937485.0,14.9400565709098
BWA,Botswana,1988,15.9394934317422,48.8,0.2,61.696,1235476.0,37.581924935915
BWA,Botswana,2000,-0.163772714868571,81.1,0.298,52.263,1677382.0,53.2047727398794
BWA,Botswana,2004,0.920692081948033,76.3,0.396,53.573,1807146.0,57.2582489329358
BWA,Botswana,2008,1.1992313160418,60.3,0.367,57.661,1949970.0,61.8321593704079
BWA,Botswana,2012,-1.83175900387364,53.4,0.388,60.384,2108617.0,64.3993247826904
BWA,Botswana,2016,5.69319455388396,49.0,0.371,64.32,2234776.0,65.6949296854899
CAF,Central African Republic,1980,-5.52099764656569,188.0,0.043,49.789,2450535.0,35.9276093349123
CAF,Central African Republic,2004,3.72625182811642,152.2,0.079,47.696,4192826.0,37.9626889392062
CAF,Central African Republic,2008,-0.0996463174017777,135.6,0.0405,49.873,4558984.0,38.3474489192338
CAN,Canada,1976,4.50510430004691,16.0,1.7,73.8560975609756,23449808.0,75.532954066479
CAN,Canada,1980,0.867987093611561,12.5,1.8,75.1021951219512,24515667.0,75.6767135132808
CAN,Canada,1984,4.9035541763206,10.1,1.9,76.3319512195122,25607053.0,76.218047632138
CAN,Canada,1988,3.06576122858351,8.8,2.1,76.8587804878049,26791747.0,76.5177005456627
CAN,Canada,1992,-0.296709575701925,7.7,2.1,77.8380487804878,28371264.0,76.7352832428064
CAN,Canada,1996,0.631530881733894,6.7,2.1,78.220243902439,29610218.0,77.8924633929695
CAN,Canada,2004,2.13581560192544,6.1,1.8971,79.9921951219512,31938807.0,79.6923063348315
CAN,Canada,2008,-0.0933427924909864,5.9,1.959,80.7246341463415,33247298.0,80.6628944916604
CAN,Canada,2012,0.658841956783917,5.6,2.3962,81.6636585365854,34713395.0,81.1513483248791
CAN,Canada,2016,-0.0982963624127819,5.3,2.3105,81.94,36110803.0,81.3023011093703
CHE,Switzerland,1976,-0.838489887506583,12.9,2.0,74.7853658536585,6302504.0,59.7254925698242
CHE,Switzerland,1980,4.18745314176385,10.4,2.5,75.4592682926829,6319408.0,61.2892322920315
CHE,Switzerland,1984,2.63920461356098,9.2,2.6,76.6085365853659,6441865.0,63.9592991837694
CHE,Switzerland,1988,2.52134716847148,8.6,3.0,77.2265853658537,6593386.0,67.2749319165596
CHE,Switzerland,1992,-1.13971907473382,7.5,3.012,77.8060975609756,6875364.0,69.820059647118
CHE,Switzerland,1996,0.0285406433398379,6.2,3.584,78.8960975609756,7071850.0,72.0359167090865
CHE,Switzerland,2000,3.37615748239699,5.6,3.51,79.6804878048781,7184250.0,73.302430524727
CHE,Switzerland,2004,1.99813197598502,5.2,3.696,81.0878048780488,7389625.0,73.4761317507392
CHE,Switzerland,2008,1.50995075456851,4.7,3.82,81.9926829268293,7647675.0,73.5482927401305
CHE,Switzerland,2012,0.110596623356798,4.4,3.915,82.6975609756098,7996861.0,73.7522629583622
CHE,Switzerland,2016,0.960131696221239,4.2,4.25,83.6024390243903,8373338.0,76.6726675773771
CHL,Chile,1984,2.43691015051672,23.0,0.817,71.215,12207733.0,82.5795301526956
CHL,Chile,1992,9.71844044949243,16.3,0.983,74.367,13884577.0,83.4959351320883
CHL,Chile,2004,5.60291985486168,9.3,0.974,78.276,16187322.0,86.7336754490112
CHL,Chile,2008,2.75755699285021,8.9,1.031,78.752,16838988.0,86.8765769429469
